product_id,price,is_organic,rating,last_updated
P001,3.49,false,4.6,2024-03-22
P002,2.29,false,4.2,2024-03-22
P003,0.49,false,4.3,2024-03-22
P004,4.49,false,4.5,2024-03-22
P005,3.29,false,4.4,2024-03-22
P006,3.99,false,4.2,2024-03-22
P007,3.79,false,4.4,2024-03-22
P008,5.49,false,4.3,2024-03-22
P009,1.79,false,4.1,2024-03-22
P010,3.79,false,4.5,2024-03-22
P011,1.29,false,4.3,2024-03-22
P012,1.19,false,4.2,2024-03-22
P013,2.79,false,4.1,2024-03-22
P014,3.29,false,4.4,2024-03-22
P015,3.79,false,4.3,2024-03-22
P016,0.89,false,4.2,2024-03-22
P017,4.79,false,4.5,2024-03-22
P018,2.79,false,4.4,2024-03-22
P019,7.49,false,4.6,2024-03-22
P020,2.29,false,4.3,2024-03-22 
